Code,Name,Description
1,Combined,Single spillway that acts as both the principal and emergency spillway. 
2,Free,Surplus water falls freely from the crest of the weir; a straight drop spillway or free overfall spillway. 
3,Gated,Surplus water is regulated with a gate to prevent downstream flooding. 
4,Other,"The spillway type of the dam structure is defined as something other than 'combined', 'free', or 'gated'."
5,None,Structure does not have a spillway. 
99,Unknown,Structure has a spillway but the type is not known. 
