Code,Name,Description
1,Bypass  ,"A fish screen is used to channel juvenile fish downstream of the structure, bypassing the turbine channel. "
2,River Channel ,Fish move downstream of the structure via the natural river channel. 
3,Spillway ,Fish move downstream of the structure by passing over the spillway. 
4,Turbine  ,Fish move downstream of the structure by passing through the turbine channel. 
