Name,Description
Dams,"A structure that is constructed to divert or hold back water of a stream, river, or lake for a specific purpose, e.g., hydroelectricity, water storage, or flood control. This category includes dams, weirs, and dykes."
Waterfalls ,A natural structure that may impede the ability of fish to travel upstream due to differences in elevation and increased flow velocity.
Fishways,"A structure that is constructed to facilitate the passage of fish up- and/or downstream of an aquatic barrier (e.g., dam or waterfall)."
