Attribute ,Required ,Data Type ,Description 
name_id ,yes ,uuid ,Unique identifier for name. 
name_en ,no ,String ,English Name. The geographical name value corresponding to the toponymic feature id in the CGNDB – Language field distinguishes French from English from Indigenous names. 
name_fr ,no ,String ,French Name. The geographical name value corresponding to the toponymic feature id in the CGNDB – Language field distinguishes French from English from Indigenous names. 
geodbname, yes, String, The name of the geographical names database this name is sourced from.  For Example: CGNDB =  Canadian Geographical Names Database. (https://www.nrcan.gc.ca/earth-sciences/geography/querying-canadian-geographical-names-database/canadian-geographical-names-database/19870) 
geodb_id ,no ,uuid ,"The name identifier in the geographical names database. "
