Column,Description
name,The unique name of the attribute set.
ft_metadata_col,The name of the column in the cabd.feature_type_metadata table that identifies which attributes are to be included and in what order. This column must exist in this table with values 1..n for attributes to be included in the results or null for attributes to be excluded. 
